Date;0-19(M);0-19(F);20-29(M);20-29(F);30-39(M);30-39(F);40-49(M);40-49(F);50-59(M);50-59(F);60-69(M);60-69(F);70-79(M);70-79(F);80-89(M);80-89(F);90-99(M);90-99(F);100+(M);100+(F);M;F;%M;%F
2020-03-19;0;0;1;2;1;1;1;2;5;2;4;3;3;1;2;2;0;0;0;0;17;13;56.66666667;43.33333333
2020-03-20;0;0;1;3;3;1;1;2;6;2;4;3;4;2;2;2;0;0;0;0;21;15;58.33333333;41.66666667
2020-03-21;0;0;1;4;4;2;2;3;6;3;4;5;5;3;2;2;0;0;0;0;24;22;52.17391304;47.82608696
2020-03-22;0;0;1;6;5;6;3;5;7;4;8;9;5;5;2;2;0;0;0;0;31;37;45.58823529;54.41176471
2020-03-23;0;0;1;7;5;7;5;6;7;4;10;11;5;6;4;2;1;0;0;0;38;43;46.91358025;53.08641975
2020-03-24;0;1;3;11;9;8;6;6;11;8;11;12;6;7;4;2;1;0;0;0;51;55;48.11320755;51.88679245
2020-03-25;0;1;5;11;11;9;7;6;12;13;11;13;7;7;5;2;1;0;0;0;59;62;48.76033058;51.23966942
2020-03-26;1;1;5;15;13;14;10;6;13;14;11;15;9;8;8;2;2;1;0;0;72;76;48.64864865;51.35135135
2020-03-27;1;1;6;18;16;16;11;8;16;14;12;16;9;8;9;2;2;1;0;0;82;84;49.39759036;50.60240964
2020-03-28;1;3;6;22;20;21;11;12;18;17;14;18;12;10;9;3;3;2;0;0;94;108;46.53465347;53.46534653
2020-03-29;1;3;8;25;21;22;12;15;20;18;15;22;12;12;9;3;3;2;0;0;101;122;45.29147982;54.70852018
2020-03-30;1;4;9;27;23;27;14;18;21;23;18;24;15;14;9;4;4;2;0;0;114;143;44.35797665;55.64202335
2020-03-31;1;4;11;34;26;33;18;19;25;28;22;26;16;15;11;5;4;2;0;0;134;166;44.66666667;55.33333333
2020-04-01;1;4;12;42;28;38;20;27;29;32;29;31;19;19;11;9;4;4;0;0;153;206;42.6183844;57.3816156
2020-04-02;1;4;14;44;29;39;22;27;31;34;31;35;22;21;13;12;4;7;0;0;167;223;42.82051282;57.17948718
2020-04-03;3;5;15;46;33;44;22;28;37;39;35;37;27;26;14;13;4;8;0;0;190;246;43.57798165;56.42201835
2020-04-04;4;5;17;52;36;49;22;29;42;45;36;39;33;27;16;14;5;10;0;0;211;270;43.86694387;56.13305613
2020-04-05;4;5;17;53;41;53;24;31;45;48;39;40;36;29;17;15;7;12;0;0;230;286;44.57364341;55.42635659
2020-04-06;4;6;17;57;43;56;24;34;46;50;40;41;37;29;21;17;9;12;0;0;241;302;44.38305709;55.61694291
2020-04-07;4;6;18;61;44;59;25;36;49;57;42;42;39;29;21;17;9;12;0;0;251;319;44.03508772;55.96491228
2020-04-08;4;7;19;68;46;65;32;44;50;61;45;47;41;31;25;19;10;13;0;0;272;355;43.38118022;56.61881978
2020-04-09;4;7;20;70;49;70;33;50;52;63;47;49;44;36;27;26;13;20;0;0;289;391;42.5;57.5
2020-04-10;4;7;20;70;49;71;34;51;52;65;52;55;47;38;28;32;14;23;0;0;300;412;42.13483146;57.86516854
2020-04-11;4;7;21;71;49;76;37;53;54;65;53;56;49;41;29;37;15;25;0;0;311;431;41.91374663;58.08625337
2020-04-12;5;7;21;71;49;78;38;54;55;66;58;61;52;44;29;38;15;27;0;0;322;446;41.92708333;58.07291667
2020-04-13;6;7;23;72;49;78;40;55;58;67;61;64;53;44;30;39;17;28;0;0;337;454;42.60429836;57.39570164
