date;total_conf;new_cases;percent_increase ;tests_run;daily_tests;percent_inc_TR;positives;percent_pos;daily_PR;hosp;death_count;death_rate;death_growth_rate;ICU;ICU_rate_hosp;active cases;unhosp_active;percent_hosp_active;percent_ICU_active;nonICU
2020-03-19;30;;;;;;30;;;8;1;3.333333333;;;;;;;;
2020-03-20;36;6;20;;;;36;;;11;1;2.777777778;0;;;;;;;
2020-03-21;46;10;27.77777778;;;;46;;;10;1;2.173913043;0;;;;;;;
2020-03-22;68;22;47.82608696;1168;;;68;5.821917808;;11;1;1.470588235;0;6;54.54545455;;;;;
2020-03-23;81;13;19.11764706;1371;203;17.38013699;81;5.90809628;6.403940887;12;2;2.469135802;100;6;50;;;;;
2020-03-24;106;25;30.86419753;1573;202;14.73377097;106;6.73871583;12.37623762;15;3;2.830188679;50;9;60;;;;;
2020-03-25;121;15;14.1509434;1703;130;8.26446281;121;7.105108632;11.53846154;25;3;2.479338843;0;15;60;;;;;
2020-03-26;148;27;22.31404959;1966;263;15.44333529;148;7.527975585;10.2661597;31;4;2.702702703;33.33333333;19;61.29032258;;;;;
2020-03-27;166;18;12.16216216;2002;36;1.831129196;166;8.291708292;50;33;4;2.409638554;0;21;63.63636364;;;;;
2020-03-28;202;36;21.68674699;2478;476;23.77622378;202;8.15173527;7.56302521;32;5;2.475247525;25;22;68.75;;;;;
2020-03-29;223;21;10.3960396;2619;141;5.690072639;223;8.514700267;14.89361702;33;6;2.69058296;20;22;66.66666667;;;;;
2020-03-30;257;34;15.24663677;2778;159;6.071019473;257;9.251259899;21.3836478;42;8;3.112840467;33.33333333;25;59.52380952;;;;;
2020-03-31;300;43;16.73151751;3152;374;13.46292297;300;9.517766497;11.4973262;57;9;3;12.5;24;42.10526316;;;;;
2020-04-01;359;59;19.66666667;3498;346;10.97715736;359;10.26300743;17.05202312;62;9;2.506963788;0;28;45.16129032;;;;;
2020-04-02;390;31;8.635097493;3768;270;7.718696398;390;10.35031847;11.48148148;70;10;2.564102564;11.11111111;25;35.71428571;;;;;
2020-04-03;436;46;11.79487179;4128;360;9.554140127;436;10.5620155;12.77777778;77;14;3.211009174;40;28;36.36363636;;;;;
2020-04-04;481;45;10.32110092;4322;194;4.699612403;481;11.12910689;23.19587629;77;17;3.534303534;21.42857143;29;37.66233766;;;;;
2020-04-05;516;35;7.276507277;4541;219;5.067098565;516;11.36313587;15.98173516;86;19;3.682170543;11.76470588;30;34.88372093;;;;;
2020-04-06;543;27;5.23255814;4906;365;8.03787712;543;11.0680799;7.397260274;83;26;4.788213628;36.84210526;30;36.14457831;;;;;
2020-04-07;570;27;4.972375691;5318;412;8.397880147;570;10.71831516;6.553398058;83;31;5.438596491;19.23076923;37;44.57831325;;;;;
2020-04-08;627;57;10;5666;348;6.543813464;627;11.06600777;16.37931034;86;34;5.422647528;9.677419355;39;45.34883721;;;;;
