date;total_conf;log_total_conf
2020-03-19;30;1.477121255
2020-03-20;36;1.556302501
2020-03-21;46;1.662757832
2020-03-22;68;1.832508913
2020-03-23;81;1.908485019
2020-03-24;106;2.025305865
2020-03-25;121;2.08278537
2020-03-26;148;2.170261715
2020-03-27;166;2.220108088
2020-03-28;202;2.305351369
2020-03-29;223;2.348304863
2020-03-30;257;2.409933123
2020-03-31;300;2.477121255
2020-04-01;359;2.555094449
2020-04-02;390;2.591064607
2020-04-03;436;2.639486489
2020-04-04;481;2.682145076
2020-04-05;516;2.712649702
2020-04-06;543;2.73479983
2020-04-07;570;2.755874856
2020-04-08;627;2.797267541
2020-04-09;680;2.832508913
2020-04-10;712;2.852479994
2020-04-11;742;2.870403905
2020-04-12;768;2.88536122
2020-04-13;791;2.898176483
2020-04-14;834;2.921166051
2020-04-15;883;2.945960704
2020-04-16;932;2.969415912
2020-04-17;973;2.98811284
2020-04-18;1000;3
2020-04-19;1019;3.008174184
2020-04-20;1038;3.016197354
2020-04-21;1077;3.032215703
2020-04-22;1133;3.05422991
2020-04-23;1174;3.069668097
2020-04-24;1220;3.086359831
2020-04-25;1260;3.100370545
2020-04-26;1280;3.10720997
2020-04-27;1299;3.113609151
2020-04-28;1345;3.128722284
2020-04-29;1371;3.137037455
2020-04-30;1417;3.15136985
2020-05-01;1457;3.163459552
2020-05-02;1507;3.178113252
2020-05-03;1540;3.187520721
2020-05-04;1559;3.192846115
2020-05-05;1599;3.203848464
2020-05-06;1626;3.211120541
2020-05-07;1672;3.223236273
2020-05-08;1704;3.23146959
2020-05-09;1742;3.241048151
2020-05-10;1788;3.252367514
2020-05-11;1817;3.259354927
2020-05-12;1851;3.267406419
2020-05-13;1934;3.28645647
2020-05-14;2010;3.303196057
2020-05-15;2104;3.323045735
2020-05-16;2183;3.339053736
2020-05-17;2228;3.347915187
